"key","en","de",

"starterkitareas.area.input.placeholder", "Content", "Inhalt"

"starterkitareas.area.paneltitle", "Settings", "Einstellungen"
"starterkitareas.dialogbox.paneltitle","Area Settings","Area Einstellungen",
"starterkitareas.area.blockquote.name","Blockquote","Blockzitat",
"starterkitareas.area.blockquote.description","A minimal Html Text Editor","Ein minimaler HTML-Texteditor",
"starterkitareas.area.blockquote.inputCite","HTML Citation Element (cite)","HTML-Zitatselement (cite)",
"starterkitareas.area.blockquote.checkboxDisplayAuthor","Display Author","Zeile Author einblenden",
"starterkitareas.area.blockquote.placeholder","Content Blockquote","Inhalt Zitat",

"starterkitareas.area.divider.name","Divider","Divider",
"starterkitareas.area.divider.description","A horizontal Line to divide Html Elements","Eine horizontale Linie zum Teilen von Html-Elementen",
"starterkitareas.area.divider.selectDividerClass","Divider Class","Teiler Klasse",
"starterkitareas.area.divider.solid","Default (Solid)","Standard (Solid)",
"starterkitareas.area.divider.dashed","Dashed","Dashed",
"starterkitareas.area.divider.dotted","Dotted","Dotted",
"starterkitareas.area.divider.double","Double","Double",
"starterkitareas.area.divider.groove","Groove","Groove",
"starterkitareas.area.divider.imgnorepeat","Image/Pattern no repeat","Bild/Muster keine Wiederholung",
"starterkitareas.area.divider.imgrepeat","Image/Pattern repeat horizontal","Bild/Muster horizontale Wiederholung",
"starterkitareas.area.divider.selectWidthClass","Divider Width","Teiler Weite",
"starterkitareas.area.divider.w100","Default (100%)","Standard (100%)",
"starterkitareas.area.divider.w80","Width 80%","Weite 80%",
"starterkitareas.area.divider.w75","Width 75%","Weite 75%",
"starterkitareas.area.divider.w66","Width 66%","Weite 66%",
"starterkitareas.area.divider.w50","Width 50%","Weite 50%",
"starterkitareas.area.divider.w33","Width 33%","Weite 33%",
"starterkitareas.area.divider.w25","Width 25%","Weite 25%",
"starterkitareas.area.divider.selectSpacersizeClass","Divider Spacer Size (top,bottom)","Höhe des Aussenabstand (oben, unten)",
"starterkitareas.area.divider.x1","Spacer x1","Abstand x1",
"starterkitareas.area.divider.x2","Spacer x2","Abstand x2",
"starterkitareas.area.divider.x3","Spacer x3","Abstand x3",
"starterkitareas.area.divider.x4","Spacer x4","Abstand x4",
"starterkitareas.area.divider.x5","Spacer x5","Abstand x5",
"starterkitareas.area.divider.imageDividerImg","Divider Background Image","Teiler-Hintergrundbild",

"starterkitareas.area.gallery.name","Gallery","Galerie",
"starterkitareas.area.gallery.description","with different Layout and Lightbox Options","mit verschiedenen Layout- und Lightbox-Optionen",

"starterkitareas.area.heading.name","Heading","Heading",
"starterkitareas.area.heading.description","Select H1-H6","Auswahl H1-H6",
